"","THREADS","mean_t","mean_e"
"1",1,2.43634433333333,132.328543333333
"2",2,2.78918433333333,91.0900966666667
"3",4,2.850415,50.2693243333333
"4",8,2.999788,30.996055
"5",16,3.488605,23.6227693333333
"6",32,4.41171066666667,16.937346
